I,N,initial_noise,noise
12,480,0.00551757812500000,0.231357421875000
13,480,0.00277099609375000,0.120466308593750
14,480,0.00135375976562500,0.0636511230468750
15,480,0.000693359375000000,0.0329962158203125
16,480,0.000339660644531250,0.0165823364257813
17,480,0.000171966552734375,0.00867080688476562
18,480,0.0000842285156250000,0.00451034545898437
19,480,0.0000425338745117188,0.00232089996337891
20,480,0.0000216865539550781,0.00116168975830078
21,480,0.0000108623504638672,0.000603828430175781
22,480,5.33103942871094e-6,0.000308980941772461
23,480,2.65598297119141e-6,0.000161609649658203
24,480,1.33275985717773e-6,0.0000809013843536377